DBN,Demographic,Mean Scale Score
02M089,All Students,686
02M089,All Students,708
02M089,All Students,691
02M089,All Students,692
02M089,All Students,694
02M089,All Students,678
02M089,All Students,675
02M089,All Students,687
02M089,All Students,683
02M089,All Students,679
02M089,All Students,689
02M089,All Students,690
02M089,All Students,688
02M089,All Students,695
02M089,All Students,673
02M089,All Students,678
02M089,All Students,681
02M089,All Students,689
02M089,All Students,689
02M089,All Students,679
02M089,All Students,681
02M089,All Students,
02M089,All Students,
02M089,All Students,
02M089,All Students,
02M089,All Students,
02M089,All Students,682
02M089,All Students,683
02M104,All Students,667
02M104,All Students,668
02M104,All Students,660
02M104,All Students,673
02M104,All Students,666
02M104,All Students,667
02M104,All Students,665
02M104,All Students,665
02M104,All Students,668
02M104,All Students,669
02M104,All Students,670
02M104,All Students,674
02M104,All Students,667
02M104,All Students,671
02M104,All Students,663
02M104,All Students,669
02M104,All Students,664
02M104,All Students,664
02M104,All Students,663
02M104,All Students,657
02M104,All Students,664
02M104,All Students,
02M104,All Students,
02M104,All Students,
02M104,All Students,
02M104,All Students,
02M104,All Students,664
02M104,All Students,666
02M111,All Students,654
02M111,All Students,646
02M111,All Students,661
02M111,All Students,652
02M111,All Students,661
02M111,All Students,659
02M111,All Students,656
02M111,All Students,654
02M111,All Students,654
02M111,All Students,652
02M111,All Students,652
02M111,All Students,659
02M111,All Students,665
02M111,All Students,665
02M111,All Students,644
02M111,All Students,668
02M111,All Students,659
02M111,All Students,658
02M111,All Students,658
02M111,All Students,659
02M111,All Students,659
02M111,All Students,643
02M111,All Students,644
02M111,All Students,651
02M111,All Students,659
02M111,All Students,652
02M111,All Students,658
02M111,All Students,652
02M111,All Students,632
02M111,All Students,650
02M111,All Students,657
02M111,All Students,658
02M111,All Students,657
02M111,All Students,654
02M111,All Students,655
02M111,All Students,631
02M111,All Students,644
02M111,All Students,646
02M111,All Students,654
02M111,All Students,649
02M111,All Students,646
02M111,All Students,647
02M111,All Students,
02M111,All Students,
02M111,All Students,
02M111,All Students,
02M111,All Students,
02M111,All Students,656
02M111,All Students,655
02M114,All Students,685
02M114,All Students,702
02M114,All Students,684
02M114,All Students,695
02M114,All Students,678
02M114,All Students,681
02M114,All Students,679
02M114,All Students,692
02M114,All Students,688
02M114,All Students,691
02M114,All Students,692
02M114,All Students,693
02M114,All Students,685
02M114,All Students,681
02M114,All Students,688
02M114,All Students,698
02M114,All Students,694
02M114,All Students,684
02M114,All Students,684
02M114,All Students,674
02M114,All Students,677
02M114,All Students,
02M114,All Students,
02M114,All Students,
02M114,All Students,
02M114,All Students,
02M114,All Students,680
02M114,All Students,679
02M116,All Students,702
02M116,All Students,708
02M116,All Students,687
02M116,All Students,692
02M116,All Students,690
02M116,All Students,673
02M116,All Students,676
02M116,All Students,690
02M116,All Students,699
02M116,All Students,696
02M116,All Students,701
02M116,All Students,689
02M116,All Students,696
02M116,All Students,689
02M116,All Students,681
02M116,All Students,698
02M116,All Students,689
02M116,All Students,707
02M116,All Students,692
02M116,All Students,680
02M116,All Students,684
02M116,All Students,
02M116,All Students,
02M116,All Students,
02M116,All Students,
02M116,All Students,
02M116,All Students,683
02M116,All Students,683
02M124,All Students,690
02M124,All Students,684
02M124,All Students,675
02M124,All Students,685
02M124,All Students,676
02M124,All Students,672
02M124,All Students,675
02M124,All Students,682
02M124,All Students,682
02M124,All Students,686
02M124,All Students,682
02M124,All Students,689
02M124,All Students,686
02M124,All Students,690
02M124,All Students,687
02M124,All Students,682
02M124,All Students,678
02M124,All Students,691
02M124,All Students,694
02M124,All Students,677
02M124,All Students,678
02M124,All Students,
02M124,All Students,
02M124,All Students,
02M124,All Students,
02M124,All Students,
02M124,All Students,678
02M124,All Students,681
02M126,All Students,673
02M126,All Students,662
02M126,All Students,660
02M126,All Students,677
02M126,All Students,668
02M126,All Students,663
02M126,All Students,659
02M126,All Students,651
02M126,All Students,655
02M126,All Students,676
02M126,All Students,670
02M126,All Students,666
02M126,All Students,672
02M126,All Students,672
02M126,All Students,662
02M126,All Students,651
02M126,All Students,669
02M126,All Students,672
02M126,All Students,676
02M126,All Students,667
02M126,All Students,668
02M126,All Students,660
02M126,All Students,666
02M126,All Students,660
02M126,All Students,668
02M126,All Students,666
02M126,All Students,667
02M126,All Students,669
02M126,All Students,654
02M126,All Students,670
02M126,All Students,675
02M126,All Students,677
02M126,All Students,686
02M126,All Students,671
02M126,All Students,672
02M126,All Students,652
02M126,All Students,663
02M126,All Students,664
02M126,All Students,677
02M126,All Students,664
02M126,All Students,669
02M126,All Students,666
02M126,All Students,
02M126,All Students,
02M126,All Students,
02M126,All Students,
02M126,All Students,
02M126,All Students,668
02M126,All Students,668
02M130,All Students,684
02M130,All Students,677
02M130,All Students,673
02M130,All Students,687
02M130,All Students,675
02M130,All Students,670
02M130,All Students,671
02M130,All Students,675
02M130,All Students,676
02M130,All Students,688
02M130,All Students,684
02M130,All Students,696
02M130,All Students,685
02M130,All Students,693
02M130,All Students,685
02M130,All Students,676
02M130,All Students,680
