DBN,SCHOOL NAME,Reading,Math,Writing
15K698,SOUTH BROOKLYN COMMUNITY HIGH SCHOOL,430,416,425
16K393,FREDERICK DOUGLASS ACADEMY IV SECONDARY SCHOOL,355,355,358
16K455,BOYS AND GIRLS HIGH SCHOOL,365,370,362
16K498,BROOKLYN HIGH SCHOOL FOR LAW AND TECHNOLOGY,362,372,358
16K594,GOTHAM PROFESSIONAL ARTS ACADEMY,370,372,351
16K688,THE BROOKLYN ACADEMY OF GLOBAL FINANCE,s,s,s
17K382,ACADEMY FOR COLLEGE PREPARATION AND CAREER EXPLORATION: A COLLEGE BOARD SCHOOL,396,374,369
17K408,ACADEMY OF HOSPITALITY AND TOURISM,352,342,351
17K467,ERASMUS YABC,s,s,s
17K489,W.E.B. DUBOIS ACADEMIC HIGH SCHOOL,394,364,334
17K524,INTERNATIONAL HIGH SCHOOL AT PROSPECT HEIGHTS,287,335,291
17K528,THE HIGH SCHOOL FOR GLOBAL CITIZENSHIP,403,385,388
17K531,"SCHOOL FOR HUMAN RIGHTS, THE",348,381,359
17K533,SCHOOL FOR DEMOCRACY AND LEADERSHIP,377,404,372
17K537,HIGH SCHOOL FOR YOUTH AND COMMUNITY DEVELOPMENT AT ERASMUS,338,349,340
17K539,HIGH SCHOOL FOR SERVICE & LEARNING AT ERASMUS,362,375,368
17K543,"SCIENCE, TECHNOLOGY AND RESEARCH EARLY COLLEGE HIGH SCHOOL AT ERASMUS",457,462,441
17K544,INTERNATIONAL ARTS BUSINESS SCHOOL,386,391,369
17K546,HIGH SCHOOL FOR PUBLIC SERVICE: HEROES OF TOMORROW,418,441,414
17K547,BROOKLYN ACADEMY OF SCIENCE AND THE ENVIRONMENT,388,382,373
17K548,BROOKLYN SCHOOL FOR MUSIC & THEATRE,385,393,373
17K568,BROWNSVILLE ACADEMY HIGH SCHOOL,372,356,335
17K590,MEDGAR EVERS COLLEGE PREPARATORY SCHOOL,476,481,479
17K600,CLARA BARTON HIGH SCHOOL,425,413,413
17K625,PAUL ROBESON HIGH SCHOOL,365,363,355
17K751,ACADEMY FOR HEALTH CAREERS,s,s,s
18K563,IT TAKES A VILLAGE ACADEMY,313,320,330
18K566,BROOKLYN GENERATION SCHOOL,374,377,394
18K567,BROOKLYN THEATRE ARTS HIGH SCHOOL,383,358,377
18K569,KURT HAHN EXPEDITIONARY LEARNING SCHOOL,368,378,346
18K576,VICTORY COLLEGIATE HIGH SCHOOL,387,377,379
18K578,BROOKLYN BRIDGE ACADEMY,384,362,351
18K589,ARTS & MEDIA PREPARATORY ACADEMY,361,360,359
18K617,HIGH SCHOOL FOR INNOVATION IN ADVERTISING AND MEDIA,404,393,386
18K629,CULTURAL ACADEMY FOR THE ARTS AND SCIENCES,393,395,381
18K633,HIGH SCHOOL FOR MEDICAL PROFESSIONS,386,380,393
18K635,OLYMPUS ACADEMY,400,370,370
18K637,ACADEMY FOR CONSERVATION AND THE ENVIRONMENT,363,381,367
18K642,URBAN ACTION ACADEMY,376,385,374
18K673,EAST BROOKLYN COMMUNITY HIGH SCHOOL,410,403,378
19K409,EAST NEW YORK FAMILY ACADEMY,416,432,394
19K420,FRANKLIN K. LANE HIGH SCHOOL,s,s,s
19K431,THOMAS JEFFERSON YABC,s,s,s
19K502,FDNY HIGH SCHOOL FOR FIRE AND LIFE SAFETY,341,349,333
19K504,HIGH SCHOOL FOR CIVIL RIGHTS,363,349,342
19K507,PERFORMING ARTS AND TECHNOLOGY HIGH SCHOOL,380,386,383
19K510,WORLD ACADEMY FOR TOTAL COMMUNITY HEALTH HIGH SCHOOL,371,365,370
19K583,MULTICULTURAL HIGH SCHOOL,279,322,286
19K615,TRANSIT TECH CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,395,418,380
19K618,ACADEMY OF INNOVATIVE TECHNOLOGY,371,371,354
19K639,BROOKLYN LAB SCHOOL,360,385,363
19K659,CYPRESS HILLS COLLEGIATE PREPARATORY SCHOOL,376,385,368
19K660,W. H. MAXWELL CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,370,369,363
19K683,"THE SCHOOL FOR CLASSICS: AN ACADEMY OF THINKERS, WRITERS AND PERFORMERS",383,400,374
20K445,NEW UTRECHT HIGH SCHOOL,402,471,399
20K485,HIGH SCHOOL OF TELECOMMUNICATION ARTS AND TECHNOLOGY,425,474,424
20K490,FORT HAMILTON HIGH SCHOOL,417,478,411
20K505,FRANKLIN DELANO ROOSEVELT HIGH SCHOOL,383,486,375
20K609,THE URBAN ASSEMBLY SCHOOL FOR CRIMINAL JUSTICE,s,s,s
20K658,FRANKLIN DELANO ROOSEVELT YABC,338,477,316
21K337,INTERNATIONAL HIGH SCHOOL AT LAFAYETTE,326,386,314
21K344,RACHEL CARSON HIGH SCHOOL FOR COASTAL STUDIES,402,427,408
21K348,HIGH SCHOOL OF SPORTS MANAGEMENT,388,398,378
21K410,ABRAHAM LINCOLN HIGH SCHOOL,396,437,393
21K412/21K411,ABRAHAM LINCOLN YABC/LEARNING TO WORK GED AT ABRAHAM LINCOLN,s,s,s
21K468,KINGSBOROUGH EARLY COLLEGE SCHOOL,s,s,s
21K525,EDWARD R. MURROW HIGH SCHOOL,468,496,467
21K540,JOHN DEWEY HIGH SCHOOL,404,468,390
